,Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides,UsefulCount,side_effect,effectiveness
279,55-64,Osteoporosis,2013-04-06,prolia syringe,154218,5,5,"I had a tough time with Prolia, but I am sensitive to a lot of medication.  Two month in after the injection, I could not move my hip.  I got an injection that helped.  The worst thing for me after Prolia injection is that my hair starting falling out, and my eyelashes fell out!  When they started coming back in, they are turning under, and I have to go to my Ophathamologist to have the eyelashes removed!",4,Female, ,35,0.99984574,0.9530385
280,55-64,Osteoporosis,2013-04-05,prolia syringe,154218,4,3,"I've had four Prolia injections and regret having taken this drug. The problems began creeping up on me until they got out of control after the fourth injection. I am prone to occasional herpes and acne, and now these infections are pronounced and chronic. I'm taking antiviral and antibiotic medications to control these conditions until the Prolia gets out of my system. I have other complaints about Prolia, too, for example insomnia. The problem is Prolia's effect on the immune system. If you tend to get any type of recurring infection, stay away from this drug. Don't forget, if you develop problems you can't back out of the drug because of the 6-month injection. The notion of giving an immune-lowering drug to older people whose immune systems are already diminished is irresponsible. I suspect, and hope, that this drug will eventually be pulled from the market as patient complaints become widespread.",1,Female, ,32,0.9996635,0.006648748
281,45-54,Osteoporosis,2013-04-03,prolia syringe,154218,1,1,My Mom had this shot twice and after the first shot she told her dr that it gave her flu like symptoms. Dr said that was not possible. After second shot the symptoms returned and she lost her appetite. Three weeks after prolia shot my Mom was hospitalized for severe infection and she passed away 2 days later. The doctors prescribing medications know very little about them and if my Moms dr had listened to her then she might still be here today. Beware of this drug!!!,1,Female, ,37,0.99976236,0.0018515474
282,55-64,Osteoporosis,2013-03-19,prolia syringe,154218,5,5,"I just had a Dexa scan after 1 yr on Prolia.  My spine BMD improved 13.5%, slight improvement in hips.  Back pain has gone away.",5,Female, ,20,0.99811965,0.99958533
283,65-74,Osteoporosis,2013-03-05,prolia syringe,154218,1,1,"Pain after treatment was VERY unpleasant!  It has now been 15 months since I received Prolia and still have a rash on my legs, bad liver enzyme testing, and other difficulties which I didn't have prior to getting this ""stuff"".  NEVER AGAIN!  Please be aware of this and know that this drug is also used for chemotherapy--it's poison.  They won't tell you the truth about this drug you have to do the research yourself.",1,Female, ,27,0.99969757,0.0015480304
284,45-54,Osteoporosis,2013-02-23,prolia syringe,154218,5,5,I had my 4th shot in october and I have never had any side effects. I had a bone scan last October and the results were much better. I like getting the shot and then not having to take anything else for 6  months. It is far better than Fosomax.,5,Female, ,23,0.99950194,0.9992735
285,65-74,Osteoporosis,2013-02-14,prolia syringe,154218,1,1,"After taking the injection started having extreme bone pain in hip and leg. It has been 7 months, leg pain is almost gone, but back pain continues. How long is prolia active?",1,Female, ,24,0.9999168,0.07069159
286,65-74,Osteoporosis,2013-02-07,prolia syringe,154218,5,1,"I do not know if the drug has been effective since my first injection was Dec. 21, 2012. Within a few hours I began to feel like I had the flu. That lasted a few days and then the excruciating back ache set in.  That was followed by heaviness and burning in my legs and feet to the point where I could not even stand to wear socks. That lasted about 3 weeks and then I began to have earaches, nasal problems and a continual sore throat. My sense of smell seems to be impaired, also.  I will never have a second shot. My life has been miserable since the injection.  I have used other drugs for osteoporosis. (Boniva, Actonel and Foreto for two yrs). without any noticable side effects.  I have always had low blood pressure and now it is much higher.  As far as I am concerned, this drug is poison.",1,Female, ,25,0.99978274,0.0017435214
287,55-64,Osteoporosis,2013-02-05,prolia syringe,154218,4,1,"I just received my 3rd shot.   I wish I hadn't.  I had not put together the few side effects I was having with this.   I have had small bumps on my scalp.  Sores pop up on my arms, tingling in my feet.   I have been so fatigued that I had my doctor run several tests.  I have just been told that I have an elevated ANA.   It is in the literature that this drug affects the autoimmune system.  I now have a clear picture what all these side effects meant.  My body is clearly fighting itself.   I will not get the next shot.   Do not know yet how effective it has been.   I get my bone density in October.  As a nurse and a patient, I do not recommend getting this drug.  S.W. Naples, FL",1,Female, ,29,0.9993648,0.0070995037
288,45-54,Osteoporosis,2013-01-30,prolia syringe,154218,3,1,"Question on effectiveness rating of drug is pointless.  I won't know for a year.

One week post injection, I suddenly had a bone infection of the jaw causing an abscess.  Antibiotics for the abscess caused C-difficile.  As that was being treated, developed a lung infection. Throughout this period, skin was also very itchy.  Then shortly after that was diagnosed with shingles.  Then the C-diff returned.  Now it is a sinus infection.  Three months in and my immune system is effectively dead when I was completely healthy before.

During trials of this drug on multiple myeloma patients, twice as many patients died, so the drug was not approved for use.  There is a strong immune system connection that has not been fully explored.

I will not be trying this drug again.",1,Female, ,27,0.9996271,0.014453645
289,55-64,Osteoporosis,2013-01-29,prolia syringe,154218,5,3,My face broke out with pustules shortly having a prolia injection.  It started out with just one or two and now it looks like a severe case of acne.  I have been through 3 rounds of antibiotics and am using prescription topical ointment with no improvement.    Yesterday I started having severe pains in my right thigh.  I am due for my second injection in April.  I think I will skip it.,2,Female, ,24,0.9997522,0.0023396905
290,65-74,Osteoporosis,2013-01-24,prolia syringe,154218,4,1,"I tool Prolia for a one and half years. I noticed complexion problems within the first couple of months. Two places on my face had pimples on top of pimples. I had a bone density test a year and half after my first injection and was told no improvement. I made the decision to go off this shot. A few weeks after the time that I would have taken the next shot, I was in so much pain. My neck, my back, the backs of my knees, my finger, wrists, ankles. I could not sleep the pain got so bad. Twice I got down to pick something up and had to pull myself up. The pain has definitely lightened up but I now have intense pain occasionally in places I never had pain before taking the drug. Definitely not happy. ",1,Female, ,32,0.99993825,0.08438677
291,55-64,Osteoporosis,2012-12-17,prolia syringe,154218,2,1,I have broken out with skin rash  which is on fire an itches terribly I will not be using prolia again,1,Female, ,23,0.9995871,0.0010162625
292,55-64,Osteoporosis,2012-12-11,prolia syringe,154218,5,3,I just received my 2nd injection.  Only issue I've experienced was restless leg syndrome at night.  But I had also issues with this before starting this drug.  I do like the fact that you don't have to take a pill & only need to take once every 6 months.  Be sure to contact Prolia when you start to receive a discount card you can use against your prescription.,3,Female, ,13,0.9993818,0.99731255
293,65-74,Aromatase Inhibitor Drug-Induced Osteoporosis,2012-11-29,prolia syringe,154218,5,3,"I received my first injection two months ago.  Felt no side effects until a couple of weeks ago when I began feeling jaw pain.  My teeth and jaws are now sensitive to heat, cold and pressure upon chewing.  I have always had excellent teeth so this disturbs me greatly.  I have not had a bone density test since taking it so can't attest to the effectiveness.  I will discuss these issues with my oncologist at my next appointment in a few weeks, but am doubtful I will agree to continue with this treatment.",2,Female, ,4,0.99988985,0.042132467
